-0.00065236,-0.00092319,-0.0013013,-0.001826,-0.0025494,-0.0035386,-0.0048791,-0.0066758,-0.0090536,-0.012153,-0.01612,-0.021089,-0.027151,-0.03431,-0.042435,-0.051209,-0.060094,-0.068354,-0.075132,-0.079604,-0.081169,-0.079604,-0.075132,-0.068354,-0.060094,-0.051209,-0.042435,-0.03431,-0.027151,-0.021089,-0.01612,-0.012153,-0.0090536,-0.0066758,-0.0048791,-0.0035386,-0.0025494,-0.001826,-0.0013013,-0.00092319,-0.00065236
-0.00077124,-0.0010992,-0.0015612,-0.0022089,-0.0031113,-0.0043601,-0.006074,-0.0084037,-0.011534,-0.015683,-0.021089,-0.027994,-0.036591,-0.04697,-0.059017,-0.072324,-0.0861,-0.099165,-0.11007,-0.11735,-0.11991,-0.11735,-0.11007,-0.099165,-0.0861,-0.072324,-0.059017,-0.04697,-0.036591,-0.027994,-0.021089,-0.015683,-0.011534,-0.0084037,-0.006074,-0.0043601,-0.0031113,-0.0022089,-0.0015612,-0.0010992,-0.00077124
-0.0008984,-0.001289,-0.0018442,-0.0026299,-0.0037362,-0.0052847,-0.007437,-0.010404,-0.014451,-0.019907,-0.027151,-0.036591,-0.048612,-0.063473,-0.081169,-0.10123,-0.12255,-0.14327,-0.16092,-0.1729,-0.17715,-0.1729,-0.16092,-0.14327,-0.12255,-0.10123,-0.081169,-0.063473,-0.048612,-0.036591,-0.027151,-0.019907,-0.014451,-0.010404,-0.007437,-0.0052847,-0.0037362,-0.0026299,-0.0018442,-0.001289,-0.0008984
-0.0010303,-0.0014875,-0.0021428,-0.0030784,-0.004409,-0.006292,-0.0089413,-0.012643,-0.01777,-0.024799,-0.03431,-0.04697,-0.063473,-0.084415,-0.11007,-0.14004,-0.1729,-0.20581,-0.23462,-0.25456,-0.26172,-0.25456,-0.23462,-0.20581,-0.1729,-0.14004,-0.11007,-0.084415,-0.063473,-0.04697,-0.03431,-0.024799,-0.01777,-0.012643,-0.0089413,-0.006292,-0.004409,-0.0030784,-0.0021428,-0.0014875,-0.0010303
-0.0011623,-0.0016878,-0.0024464,-0.0035386,-0.0051063,-0.0073477,-0.010538,-0.015052,-0.021398,-0.030242,-0.042435,-0.059017,-0.081169,-0.11007,-0.14659,-0.19077,-0.24102,-0.29328,-0.34065,-0.37436,-0.38664,-0.37436,-0.34065,-0.29328,-0.24102,-0.19077,-0.14659,-0.11007,-0.081169,-0.059017,-0.042435,-0.030242,-0.021398,-0.015052,-0.010538,-0.0073477,-0.0051063,-0.0035386,-0.0024464,-0.0016878,-0.0011623
-0.001289,-0.0018812,-0.0027418,-0.0039901,-0.0057967,-0.0084037,-0.012153,-0.017523,-0.025174,-0.036004,-0.051209,-0.072324,-0.10123,-0.14004,-0.19077,-0.25456,-0.33036,-0.41301,-0.49149,-0.54955,-0.5712,-0.54955,-0.49149,-0.41301,-0.33036,-0.25456,-0.19077,-0.14004,-0.10123,-0.072324,-0.051209,-0.036004,-0.025174,-0.017523,-0.012153,-0.0084037,-0.0057967,-0.0039901,-0.0027418,-0.0018812,-0.001289
-0.0014043,-0.0020581,-0.0030139,-0.004409,-0.0064424,-0.0094004,-0.013694,-0.019907,-0.028868,-0.041732,-0.060094,-0.0861,-0.12255,-0.1729,-0.24102,-0.33036,-0.44205,-0.5712,-0.70187,-0.80428,-0.84386,-0.80428,-0.70187,-0.5712,-0.44205,-0.33036,-0.24102,-0.1729,-0.12255,-0.0861,-0.060094,-0.041732,-0.028868,-0.019907,-0.013694,-0.0094004,-0.0064424,-0.004409,-0.0030139,-0.0020581,-0.0014043
-0.001502,-0.0022089,-0.0032468,-0.0047698,-0.0070024,-0.010272,-0.015052,-0.022031,-0.032198,-0.04697,-0.068354,-0.099165,-0.14327,-0.20581,-0.29328,-0.41301,-0.5712,-0.76763,-0.98429,-1.1702,-1.2467,-1.1702,-0.98429,-0.76763,-0.5712,-0.41301,-0.29328,-0.20581,-0.14327,-0.099165,-0.068354,-0.04697,-0.032198,-0.022031,-0.015052,-0.010272,-0.0070024,-0.0047698,-0.0032468,-0.0022089,-0.001502
-0.0015764,-0.0023242,-0.0034258,-0.0050484,-0.007437,-0.010952,-0.01612,-0.023715,-0.034864,-0.051209,-0.075132,-0.11007,-0.16092,-0.23462,-0.34065,-0.49149,-0.70187,-0.98429,-1.333,-1.6797,-1.8418,-1.6797,-1.333,-0.98429,-0.70187,-0.49149,-0.34065,-0.23462,-0.16092,-0.11007,-0.075132,-0.051209,-0.034864,-0.023715,-0.01612,-0.010952,-0.007437,-0.0050484,-0.0034258,-0.0023242,-0.0015764
-0.0016231,-0.0023966,-0.0035386,-0.0052245,-0.0077128,-0.011385,-0.016804,-0.024799,-0.036591,-0.053978,-0.079604,-0.11735,-0.1729,-0.25456,-0.37436,-0.54955,-0.80428,-1.1702,-1.6797,-2.3148,-2.7209,-2.3148,-1.6797,-1.1702,-0.80428,-0.54955,-0.37436,-0.25456,-0.1729,-0.11735,-0.079604,-0.053978,-0.036591,-0.024799,-0.016804,-0.011385,-0.0077128,-0.0052245,-0.0035386,-0.0023966,-0.0016231
-0.001639,-0.0024214,-0.0035772,-0.0052847,-0.0078073,-0.011534,-0.01704,-0.025174,-0.03719,-0.054942,-0.081169,-0.11991,-0.17715,-0.26172,-0.38664,-0.5712,-0.84386,-1.2467,-1.8418,-2.7209,-4.0197,-2.7209,-1.8418,-1.2467,-0.84386,-0.5712,-0.38664,-0.26172,-0.17715,-0.11991,-0.081169,-0.054942,-0.03719,-0.025174,-0.01704,-0.011534,-0.0078073,-0.0052847,-0.0035772,-0.0024214,-0.001639
-0.0016231,-0.0023966,-0.0035386,-0.0052245,-0.0077128,-0.011385,-0.016804,-0.024799,-0.036591,-0.053978,-0.079604,-0.11735,-0.1729,-0.25456,-0.37436,-0.54955,-0.80428,-1.1702,-1.6797,-2.3148,-2.7209,-2.3148,-1.6797,-1.1702,-0.80428,-0.54955,-0.37436,-0.25456,-0.1729,-0.11735,-0.079604,-0.053978,-0.036591,-0.024799,-0.016804,-0.011385,-0.0077128,-0.0052245,-0.0035386,-0.0023966,-0.0016231
-0.0015764,-0.0023242,-0.0034258,-0.0050484,-0.007437,-0.010952,-0.01612,-0.023715,-0.034864,-0.051209,-0.075132,-0.11007,-0.16092,-0.23462,-0.34065,-0.49149,-0.70187,-0.98429,-1.333,-1.6797,-1.8418,-1.6797,-1.333,-0.98429,-0.70187,-0.49149,-0.34065,-0.23462,-0.16092,-0.11007,-0.075132,-0.051209,-0.034864,-0.023715,-0.01612,-0.010952,-0.007437,-0.0050484,-0.0034258,-0.0023242,-0.0015764
-0.001502,-0.0022089,-0.0032468,-0.0047698,-0.0070024,-0.010272,-0.015052,-0.022031,-0.032198,-0.04697,-0.068354,-0.099165,-0.14327,-0.20581,-0.29328,-0.41301,-0.5712,-0.76763,-0.98429,-1.1702,-1.2467,-1.1702,-0.98429,-0.76763,-0.5712,-0.41301,-0.29328,-0.20581,-0.14327,-0.099165,-0.068354,-0.04697,-0.032198,-0.022031,-0.015052,-0.010272,-0.0070024,-0.0047698,-0.0032468,-0.0022089,-0.001502
-0.0014043,-0.0020581,-0.0030139,-0.004409,-0.0064424,-0.0094004,-0.013694,-0.019907,-0.028868,-0.041732,-0.060094,-0.0861,-0.12255,-0.1729,-0.24102,-0.33036,-0.44205,-0.5712,-0.70187,-0.80428,-0.84386,-0.80428,-0.70187,-0.5712,-0.44205,-0.33036,-0.24102,-0.1729,-0.12255,-0.0861,-0.060094,-0.041732,-0.028868,-0.019907,-0.013694,-0.0094004,-0.0064424,-0.004409,-0.0030139,-0.0020581,-0.0014043
-0.001289,-0.0018812,-0.0027418,-0.0039901,-0.0057967,-0.0084037,-0.012153,-0.017523,-0.025174,-0.036004,-0.051209,-0.072324,-0.10123,-0.14004,-0.19077,-0.25456,-0.33036,-0.41301,-0.49149,-0.54955,-0.5712,-0.54955,-0.49149,-0.41301,-0.33036,-0.25456,-0.19077,-0.14004,-0.10123,-0.072324,-0.051209,-0.036004,-0.025174,-0.017523,-0.012153,-0.0084037,-0.0057967,-0.0039901,-0.0027418,-0.0018812,-0.001289
-0.0011623,-0.0016878,-0.0024464,-0.0035386,-0.0051063,-0.0073477,-0.010538,-0.015052,-0.021398,-0.030242,-0.042435,-0.059017,-0.081169,-0.11007,-0.14659,-0.19077,-0.24102,-0.29328,-0.34065,-0.37436,-0.38664,-0.37436,-0.34065,-0.29328,-0.24102,-0.19077,-0.14659,-0.11007,-0.081169,-0.059017,-0.042435,-0.030242,-0.021398,-0.015052,-0.010538,-0.0073477,-0.0051063,-0.0035386,-0.0024464,-0.0016878,-0.0011623
-0.0010303,-0.0014875,-0.0021428,-0.0030784,-0.004409,-0.006292,-0.0089413,-0.012643,-0.01777,-0.024799,-0.03431,-0.04697,-0.063473,-0.084415,-0.11007,-0.14004,-0.1729,-0.20581,-0.23462,-0.25456,-0.26172,-0.25456,-0.23462,-0.20581,-0.1729,-0.14004,-0.11007,-0.084415,-0.063473,-0.04697,-0.03431,-0.024799,-0.01777,-0.012643,-0.0089413,-0.006292,-0.004409,-0.0030784,-0.0021428,-0.0014875,-0.0010303
-0.0008984,-0.001289,-0.0018442,-0.0026299,-0.0037362,-0.0052847,-0.007437,-0.010404,-0.014451,-0.019907,-0.027151,-0.036591,-0.048612,-0.063473,-0.081169,-0.10123,-0.12255,-0.14327,-0.16092,-0.1729,-0.17715,-0.1729,-0.16092,-0.14327,-0.12255,-0.10123,-0.081169,-0.063473,-0.048612,-0.036591,-0.027151,-0.019907,-0.014451,-0.010404,-0.007437,-0.0052847,-0.0037362,-0.0026299,-0.0018442,-0.001289,-0.0008984
-0.00077124,-0.0010992,-0.0015612,-0.0022089,-0.0031113,-0.0043601,-0.006074,-0.0084037,-0.011534,-0.015683,-0.021089,-0.027994,-0.036591,-0.04697,-0.059017,-0.072324,-0.0861,-0.099165,-0.11007,-0.11735,-0.11991,-0.11735,-0.11007,-0.099165,-0.0861,-0.072324,-0.059017,-0.04697,-0.036591,-0.027994,-0.021089,-0.015683,-0.011534,-0.0084037,-0.006074,-0.0043601,-0.0031113,-0.0022089,-0.0015612,-0.0010992,-0.00077124
-0.00065236,-0.00092319,-0.0013013,-0.001826,-0.0025494,-0.0035386,-0.0048791,-0.0066758,-0.0090536,-0.012153,-0.01612,-0.021089,-0.027151,-0.03431,-0.042435,-0.051209,-0.060094,-0.068354,-0.075132,-0.079604,-0.081169,-0.079604,-0.075132,-0.068354,-0.060094,-0.051209,-0.042435,-0.03431,-0.027151,-0.021089,-0.01612,-0.012153,-0.0090536,-0.0066758,-0.0048791,-0.0035386,-0.0025494,-0.001826,-0.0013013,-0.00092319,-0.00065236
-0.00054416,-0.00076442,-0.001069,-0.0014875,-0.0020581,-0.0028292,-0.0038608,-0.0052245,-0.0070024,-0.0092831,-0.012153,-0.015683,-0.019907,-0.024799,-0.030242,-0.036004,-0.041732,-0.04697,-0.051209,-0.053978,-0.054942,-0.053978,-0.051209,-0.04697,-0.041732,-0.036004,-0.030242,-0.024799,-0.019907,-0.015683,-0.012153,-0.0092831,-0.0070024,-0.0052245,-0.0038608,-0.0028292,-0.0020581,-0.0014875,-0.001069,-0.00076442,-0.00054416
-0.00044798,-0.00062458,-0.00086649,-0.0011954,-0.001639,-0.0022314,-0.0030139,-0.0040344,-0.0053458,-0.0070024,-0.0090536,-0.011534,-0.014451,-0.01777,-0.021398,-0.025174,-0.028868,-0.032198,-0.034864,-0.036591,-0.03719,-0.036591,-0.034864,-0.032198,-0.028868,-0.025174,-0.021398,-0.01777,-0.014451,-0.011534,-0.0090536,-0.0070024,-0.0053458,-0.0040344,-0.0030139,-0.0022314,-0.001639,-0.0011954,-0.00086649,-0.00062458,-0.00044798
-0.00036429,-0.00050403,-0.0006936,-0.00094874,-0.001289,-0.0017382,-0.0023242,-0.0030784,-0.0040344,-0.0052245,-0.0066758,-0.0084037,-0.010404,-0.012643,-0.015052,-0.017523,-0.019907,-0.022031,-0.023715,-0.024799,-0.025174,-0.024799,-0.023715,-0.022031,-0.019907,-0.017523,-0.015052,-0.012643,-0.010404,-0.0084037,-0.0066758,-0.0052245,-0.0040344,-0.0030784,-0.0023242,-0.0017382,-0.001289,-0.00094874,-0.0006936,-0.00050403,-0.00036429
-0.00029285,-0.00040207,-0.00054883,-0.00074434,-0.0010023,-0.0013389,-0.0017727,-0.0023242,-0.0030139,-0.0038608,-0.0048791,-0.006074,-0.007437,-0.0089413,-0.010538,-0.012153,-0.013694,-0.015052,-0.01612,-0.016804,-0.01704,-0.016804,-0.01612,-0.015052,-0.013694,-0.012153,-0.010538,-0.0089413,-0.007437,-0.006074,-0.0048791,-0.0038608,-0.0030139,-0.0023242,-0.0017727,-0.0013389,-0.0010023,-0.00074434,-0.00054883,-0.00040207,-0.00029285
-0.0002329,-0.00031732,-0.00042967,-0.00057783,-0.00077124,-0.0010209,-0.0013389,-0.0017382,-0.0022314,-0.0028292,-0.0035386,-0.0043601,-0.0052847,-0.006292,-0.0073477,-0.0084037,-0.0094004,-0.010272,-0.010952,-0.011385,-0.011534,-0.011385,-0.010952,-0.010272,-0.0094004,-0.0084037,-0.0073477,-0.006292,-0.0052847,-0.0043601,-0.0035386,-0.0028292,-0.0022314,-0.0017382,-0.0013389,-0.0010209,-0.00077124,-0.00057783,-0.00042967,-0.00031732,-0.0002329
-0.00018339,-0.00024796,-0.00033309,-0.00044425,-0.00058787,-0.00077124,-0.0010023,-0.001289,-0.001639,-0.0020581,-0.0025494,-0.0031113,-0.0037362,-0.004409,-0.0051063,-0.0057967,-0.0064424,-0.0070024,-0.007437,-0.0077128,-0.0078073,-0.0077128,-0.007437,-0.0070024,-0.0064424,-0.0057967,-0.0051063,-0.004409,-0.0037362,-0.0031113,-0.0025494,-0.0020581,-0.001639,-0.001289,-0.0010023,-0.00077124,-0.00058787,-0.00044425,-0.00033309,-0.00024796,-0.00018339
-0.00014306,-0.00019198,-0.00025589,-0.00033853,-0.00044425,-0.00057783,-0.00074434,-0.00094874,-0.0011954,-0.0014875,-0.001826,-0.0022089,-0.0026299,-0.0030784,-0.0035386,-0.0039901,-0.004409,-0.0047698,-0.0050484,-0.0052245,-0.0052847,-0.0052245,-0.0050484,-0.0047698,-0.004409,-0.0039901,-0.0035386,-0.0030784,-0.0026299,-0.0022089,-0.001826,-0.0014875,-0.0011954,-0.00094874,-0.00074434,-0.00057783,-0.00044425,-0.00033853,-0.00025589,-0.00019198,-0.00014306
-0.00011065,-0.00014739,-0.00019495,-0.00025589,-0.00033309,-0.00042967,-0.00054883,-0.0006936,-0.00086649,-0.001069,-0.0013013,-0.0015612,-0.0018442,-0.0021428,-0.0024464,-0.0027418,-0.0030139,-0.0032468,-0.0034258,-0.0035386,-0.0035772,-0.0035386,-0.0034258,-0.0032468,-0.0030139,-0.0027418,-0.0024464,-0.0021428,-0.0018442,-0.0015612,-0.0013013,-0.001069,-0.00086649,-0.0006936,-0.00054883,-0.00042967,-0.00033309,-0.00025589,-0.00019495,-0.00014739,-0.00011065
-8.4891e-05,-0.00011226,-0.00014739,-0.00019198,-0.00024796,-0.00031732,-0.00040207,-0.00050403,-0.00062458,-0.00076442,-0.00092319,-0.0010992,-0.001289,-0.0014875,-0.0016878,-0.0018812,-0.0020581,-0.0022089,-0.0023242,-0.0023966,-0.0024214,-0.0023966,-0.0023242,-0.0022089,-0.0020581,-0.0018812,-0.0016878,-0.0014875,-0.001289,-0.0010992,-0.00092319,-0.00076442,-0.00062458,-0.00050403,-0.00040207,-0.00031732,-0.00024796,-0.00019198,-0.00014739,-0.00011226,-8.4891e-05
-6.4648e-05,-8.4891e-05,-0.00011065,-0.00014306,-0.00018339,-0.0002329,-0.00029285,-0.00036429,-0.00044798,-0.00054416,-0.00065236,-0.00077124,-0.0008984,-0.0010303,-0.0011623,-0.001289,-0.0014043,-0.001502,-0.0015764,-0.0016231,-0.001639,-0.0016231,-0.0015764,-0.001502,-0.0014043,-0.001289,-0.0011623,-0.0010303,-0.0008984,-0.00077124,-0.00065236,-0.00054416,-0.00044798,-0.00036429,-0.00029285,-0.0002329,-0.00018339,-0.00014306,-0.00011065,-8.4891e-05,-6.4648e-05
